ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Forms,FormsWithSounds,Concepts,Consonants,ConsonantsByQuality,ConsonantSounds,Vowels,VowelsByQuality,VowelSounds,WordLength,SyllableLength,Family
abvdoceanic-Raga,Raga,,-15.5432,168.167,hano1246,,255,255,207,18,18,18,5,5,5,4.898039215686275,2.3058823529411763,Austronesian
abvdoceanic-Rotuman,Rotuman,,-12.5008,177.066,rotu1241,,227,227,210,18,18,18,8,8,8,4.466960352422907,2.092511013215859,Austronesian
abvdoceanic-Roviana,Roviana,,-8.20493,157.408,rovi1238,,237,237,210,16,16,16,5,5,5,6.0548523206751055,2.7763713080168775,Austronesian
abvdoceanic-Samoan,Samoan,,-13.92,-171.83,samo1305,,306,306,210,11,11,11,7,6,7,4.9869281045751634,2.349673202614379,Austronesian
abvdoceanic-AmbrymSouthEast,"Ambrym, South-East",,-16.2975,168.211,sout2859,,214,214,192,15,13,15,12,9,12,4.401869158878505,1.9065420560747663,Austronesian
abvdoceanic-Seimat,Seimat,,-1.2666667,144.25,seim1238,,194,194,190,12,12,12,10,9,11,5.134020618556701,2.2577319587628866,Austronesian
abvdoceanic-Sengseng,Sengseng,,-6.16474,149.784,seng1281,,312,312,197,25,25,25,8,7,8,4.3493589743589745,1.7403846153846154,Austronesian
abvdoceanic-Sobei,Sobei,,-1.86998,138.75,sobe1238,,211,211,191,19,19,19,5,5,6,5.3364928909952605,2.3507109004739335,Austronesian
abvdoceanic-Rurutuan,Rurutuan,,,,ruru1237,,278,278,210,8,8,8,10,5,10,5.266187050359712,2.435251798561151,Austronesian
abvdoceanic-Tabar,Tabar,,-2.7828,151.956,mand1440,,211,211,200,16,16,16,5,5,5,5.502369668246446,2.5924170616113744,Austronesian
abvdoceanic-Tangga,Tangga,,-4.08824,153.611,tang1348,,201,201,172,17,17,17,7,5,7,3.985074626865672,1.6318407960199004,Austronesian
abvdoceanic-Tarpia,Tarpia,,-2.322279,140.115497,tarp1240,,201,201,191,21,21,21,6,6,6,4.875621890547263,1.9900497512437811,Austronesian
abvdoceanic-Tigak,Tigak,,-2.70951,150.893,tiga1245,,189,189,171,12,12,12,5,5,5,4.735449735449736,1.9312169312169312,Austronesian
abvdoceanic-Tongan,Tongan,,-21.17,-175.25,tong1325,,226,226,210,13,13,13,7,5,7,4.827433628318584,2.274336283185841,Austronesian
abvdoceanic-Vaghua,Vaghua,,-6.68712,156.542,vagh1249,,280,280,179,20,20,20,9,9,9,5.675,2.492857142857143,Austronesian
abvdoceanic-Vitu,Vitu,,-4.69751,149.489,mudu1242,,214,214,198,16,16,16,5,5,5,5.593457943925234,2.630841121495327,Austronesian
abvdoceanic-Wampar,Wampar,,-6.67364,146.662,wamp1247,,271,271,194,20,20,20,8,8,8,4.387453874538745,1.7749077490774907,Austronesian
abvdoceanic-Waropen,Waropen,,-2.31142,136.633,waro1242,,277,277,193,17,17,17,6,5,6,4.407942238267148,2.1660649819494586,Austronesian
abvdoceanic-WindesiWandamen,Windesi Wandamen,,-2.25622,133.996,wand1267,,249,249,198,14,14,14,5,5,5,4.562248995983936,2.0481927710843375,Austronesian
abvdoceanic-Wogeo,Wogeo,,-3.20238,144.089,woge1237,,189,189,185,22,22,22,5,5,5,4.571428571428571,2.1164021164021163,Austronesian
abvdoceanic-Wuvulu,Wuvulu,,-1.73938,142.851,wuvu1239,,190,190,181,14,14,14,6,5,6,4.9,2.363157894736842,Austronesian
abvdoceanic-AnejomAneityum,Anejom (Aneityum),,-20.1864,169.825,anei1239,,206,206,201,29,28,29,8,5,8,5.368932038834951,2.3883495145631066,Austronesian
abvdoceanic-Pukapuka,Pukapuka,,-10.91,-165.83,puka1242,,383,383,209,10,10,10,9,7,9,4.872062663185378,2.2532637075718016,Austronesian
abvdoceanic-Tikopia,Tikopia,,-12.2766,168.822,tiko1237,,288,288,201,14,14,14,10,5,10,3.9479166666666665,1.8506944444444444,Austronesian
abvdoceanic-FutunaAniwa,Futuna-Aniwa,,-19.5303,170.215,futu1245,,339,339,200,22,22,22,7,6,7,4.404129793510324,1.9705014749262537,Austronesian
abvdoceanic-Kilivila,Kilivila,,-8.72574,151.072,kili1267,,241,241,209,22,21,22,6,5,7,5.738589211618257,2.7551867219917012,Austronesian
abvdoceanic-Lenakel,Lenakel,,-19.4763,169.261,lena1238,,206,206,203,19,19,19,10,6,10,4.91747572815534,2.004854368932039,Austronesian
abvdoceanic-MagoriSouthEastPapua,Magori (South East Papua),,-10.2321,149.26,mago1248,,188,188,172,16,16,16,5,5,5,4.691489361702128,2.25531914893617,Austronesian
abvdoceanic-Maisin,Maisin,,-9.22853,148.731,mais1250,,210,210,189,22,18,22,8,5,9,5.504761904761905,2.480952380952381,Austronesian
abvdoceanic-Manam,Manam,,-4.07921,145.033,mana1295,,212,212,196,22,22,22,6,6,6,4.8254716981132075,2.292452830188679,Austronesian
abvdoceanic-Lamusong,Lamusong,,,,lamu1255,,192,192,181,15,15,15,9,8,9,4.776041666666667,2,Austronesian
abvdoceanic-Patpatar,Patpatar,,-3.74711,152.493,patp1243,,228,228,192,14,14,14,6,5,6,4.964912280701754,2.008771929824561,Austronesian
abvdoceanic-Ponapean,Ponapean,,6.87212,158.223,pohn1238,,255,255,210,17,16,17,7,6,7,4.76078431372549,1.8196078431372549,Austronesian
abvdoceanic-Ririo,Ririo,,-6.88927,156.92,riri1237,,230,230,208,20,20,20,8,8,8,4.343478260869565,1.6521739130434783,Austronesian
abvdoceanic-Teop,Teop,,-5.67474,154.971,teop1238,,267,267,200,15,15,15,10,5,10,5.048689138576779,2.438202247191011,Austronesian
abvdoceanic-Varisi,Varisi,,-6.83443,156.655,vari1239,,247,247,180,15,15,15,7,7,7,5.979757085020243,2.7530364372469633,Austronesian
abvdoceanic-Dehu,Dehu,,-20.8892,167.229,dehu1237,,269,269,200,25,25,25,9,8,9,4.799256505576208,2.007434944237918,Austronesian
abvdoceanic-Rennellese,Rennellese,,,,mung1271,,283,283,206,13,13,13,12,7,12,4.424028268551237,2.067137809187279,Austronesian
abvdoceanic-As,As,,-0.75267,131.728,asss1237,,164,164,161,18,18,18,8,8,8,4.182926829268292,1.7378048780487805,Austronesian
abvdoceanic-FutunaEast,"Futuna, East",,-14.278717,-178.137222,east2447,,364,364,209,11,11,11,11,6,11,4.31043956043956,2.043956043956044,Austronesian
abvdoceanic-Jawe,Jawe,,-20.6648,164.676,jawe1237,,219,219,200,31,31,31,11,6,12,4.28310502283105,1.730593607305936,Austronesian
abvdoceanic-KwaraaeSolomonIslands,Kwara'ae (Solomon Islands'),,-8.75779,160.804,kwar1239,,235,235,207,16,16,16,7,7,7,4.6680851063829785,2.2,Austronesian
abvdoceanic-Kapingamarangi,Kapingamarangi,,1.039166,154.797223,kapi1249,,297,297,188,21,19,21,9,5,9,4.151515151515151,1.9191919191919191,Austronesian
abvdoceanic-Molima,Molima,,-9.57457,150.614,moli1248,,229,229,194,20,20,20,6,5,7,5.995633187772926,2.816593886462882,Austronesian
abvdoceanic-Roro,Roro,,-8.67145,146.544,waim1251,,180,180,145,14,14,14,8,7,8,4.955555555555556,2.311111111111111,Austronesian
abvdoceanic-Ubir,Ubir,,-9.59044,149.396,ubir1237,,195,195,190,16,16,16,5,5,5,5.98974358974359,2.753846153846154,Austronesian
abvdoceanic-Toambaita,To'ambaita,,-8.39233,160.619,toab1237,,383,383,208,20,20,20,16,10,16,5.190600522193211,2.362924281984334,Austronesian
abvdoceanic-Taiof,Taiof,,-5.64103,154.732,sapo1253,,184,184,181,17,17,17,5,5,5,4.864130434782608,1.858695652173913,Austronesian
abvdoceanic-Suau,Suau,,-10.6606,150.21,suau1242,,197,197,188,14,14,14,5,5,6,5.527918781725888,2.563451776649746,Austronesian
abvdoceanic-TannaSouthwest,"Tanna, Southwest",,-19.57953,169.35603,sout2869,,198,198,192,20,20,20,10,6,10,4.808080808080808,1.994949494949495,Austronesian
abvdoceanic-Emae,Emae,,-17.052,168.399,emae1237,,236,236,167,16,15,16,10,5,10,3.8728813559322033,1.8559322033898304,Austronesian
abvdoceanic-SakaoPortOlry,Sakao (Port-Olry),,-15.0757,167.051,saka1289,,272,272,194,30,23,30,11,11,11,4.047794117647059,1.6911764705882353,Austronesian
abvdoceanic-NumbamiSiboma,Numbami (Siboma),,-7.52806,147.298,numb1247,,237,237,206,15,15,15,5,5,6,5.620253164556962,2.6624472573839664,Austronesian
abvdoceanic-ZabanaKia,Zabana (Kia),,-7.74311,158.753,zaba1237,,197,197,181,17,17,17,6,6,6,5.238578680203045,2.5076142131979697,Austronesian
abvdoceanic-Penrhyn,Penrhyn,,-9.082238,-157.922908,penr1237,,229,229,187,13,13,13,11,6,11,4.043668122270742,1.908296943231441,Austronesian
abvdoceanic-Luangiua,Luangiua,,-5.49029,159.701,onto1237,,249,249,193,13,12,13,11,6,11,4.0120481927710845,1.8875502008032128,Austronesian
abvdoceanic-Mangareva,Mangareva,,-23.1095,-134.97,mang1401,,344,344,204,12,12,12,10,6,10,4.47093023255814,2.125,Austronesian
abvdoceanic-IfiraMeleMeleFila,Ifira-Mele (Mele-Fila),,-17.6841,168.275,mele1250,,211,211,149,19,16,19,10,5,10,3.5165876777251186,1.7109004739336493,Austronesian
abvdoceanic-Sikaiana,Sikaiana,,-8.378194,162.72952,sika1261,,266,266,194,15,12,15,11,6,11,4.101503759398496,1.9586466165413534,Austronesian
abvdoceanic-Takuu,Takuu,,-4.773094,157.032085,taku1257,,207,207,155,21,14,21,10,5,10,3.7198067632850242,1.816425120772947,Austronesian
abvdoceanic-Tokelau,Tokelau,,-9.227642,-171.780833,toke1240,,207,207,146,11,11,11,10,5,10,4.033816425120773,1.961352657004831,Austronesian
abvdoceanic-Tuamotu,Tuamotu,,-16.17259,-146.321755,tuam1242,,294,294,198,11,11,11,9,5,9,4.204081632653061,1.9965986394557824,Austronesian
abvdoceanic-Niue,Niue,,-19.06,-169.86,niue1239,,304,304,196,12,12,12,11,6,11,4.082236842105263,1.9736842105263157,Austronesian
abvdoceanic-Anuta,Anuta,,-11.61,169.85,anut1237,,257,257,196,12,12,12,11,6,11,4.175097276264592,1.9494163424124513,Austronesian
abvdoceanic-UveaEast,"Uvea, East",,-13.2903,-176.207,wall1257,,303,303,198,13,13,13,10,6,10,4.382838283828383,2.089108910891089,Austronesian
abvdoceanic-UveaWest,"Uvea, West",,-20.4145,166.589,west2516,,182,182,139,16,16,16,10,5,10,3.9395604395604398,1.8241758241758241,Austronesian
abvdoceanic-RapanuiEasterIsland,Rapanui (Easter Island),,-27.113,-109.342,rapa1244,,438,438,203,14,14,14,9,6,9,4.417808219178082,2.1301369863013697,Austronesian
abvdoceanic-Lakalai,Lakalai,,-5.59931,150.888,naka1262,,251,251,196,12,12,12,9,5,9,4.888446215139442,2.394422310756972,Austronesian
abvdoceanic-Kove,Kove,,-5.58623,149.63,kove1237,,238,238,204,17,17,17,5,5,5,5.067226890756302,2.403361344537815,Austronesian
abvdoceanic-Amara,Amara,,-5.55778,148.68,amar1272,,228,228,172,12,12,12,5,5,5,5.12280701754386,2.175438596491228,Austronesian
abvdoceanic-Aria,Aria,,-5.71155,149.158,mouk1239,,233,233,175,12,12,12,5,5,5,4.420600858369099,1.9484978540772533,Austronesian
abvdoceanic-SouthEfate,South Efate,,-17.7006,168.377,sout2856,,211,211,205,15,15,15,5,5,5,4.180094786729858,1.5545023696682465,Austronesian
abvdoceanic-Yabem,Yabem,,-6.67052,147.81,yabe1254,,227,227,196,18,18,18,5,5,5,4.6784140969163,1.8590308370044053,Austronesian
abvdoceanic-Puluwatese,Puluwatese,,7.35695,149.2005,pulu1242,,334,334,166,28,19,28,10,5,11,4.233532934131737,1.7874251497005988,Austronesian
abvdoceanic-PuloAnnan,Pulo-Annan,,5.328596,132.221282,sons1242,,218,218,147,21,14,21,10,5,10,4.330275229357798,2.055045871559633,Austronesian
abvdoceanic-SaipanCarolinian,Saipan Carolinian,,15.205,145.765,caro1242,,317,317,160,29,20,29,10,5,11,4.085173501577287,1.747634069400631,Austronesian
abvdoceanic-Mokilese,Mokilese,,6.65651,159.776,moki1238,,176,176,115,15,14,15,14,7,15,3.5511363636363638,1.5568181818181819,Austronesian
abvdoceanic-Satawalese,Satawalese,,7.36084,147.038,sata1237,,178,178,124,29,22,29,12,7,12,4.02808988764045,1.7359550561797752,Austronesian
abvdoceanic-Marshallese,Marshallese,,8.72,167.73,mars1254,,227,227,164,33,23,33,5,4,6,4.427312775330397,1.7180616740088106,Austronesian
abvdoceanic-Kiribati,Kiribati,,-1.34,176.44,gilb1244,,367,367,208,14,13,14,9,6,9,4.583106267029973,1.997275204359673,Austronesian
abvdoceanic-Woleaian,Woleaian,,7.37957,143.916,wole1240,,324,324,166,29,22,29,10,5,11,4.506172839506172,2.1574074074074074,Austronesian
abvdoceanic-Chuukese,Chuukese,,7.346993,151.598607,chuu1238,,454,454,200,31,18,31,13,7,15,3.9295154185022025,1.7290748898678414,Austronesian
abvdoceanic-Nembao,Nembao,,-11.2958,166.498,amba1266,,189,189,175,35,32,35,11,11,11,4.2592592592592595,2.074074074074074,Austronesian
abvdoceanic-Asumboa,Asumboa,,-11.2969,166.499,asum1237,,184,184,171,24,24,24,7,7,7,5.016304347826087,2.3369565217391304,Austronesian
abvdoceanic-Tanimbili,Tanimbili,,-11.2975,166.507,tani1255,,184,184,173,25,24,25,8,8,8,5.994565217391305,2.6847826086956523,Austronesian
abvdoceanic-Buma,Buma,,-11.6752,166.868,tean1237,,208,208,178,23,23,23,6,6,6,4.793269230769231,2.269230769230769,Austronesian
abvdoceanic-Vano,Vano,,-11.6107,166.7984,vano1237,,233,233,177,23,23,23,5,5,5,5.1373390557939915,2.3605150214592276,Austronesian
abvdoceanic-Tanema,Tanema,,-11.68,166.97,tane1237,,200,200,151,27,27,27,5,5,6,5.38,2.51,Austronesian
abvdoceanic-TungagTungakLavongai,Tungag / Tungak / Lavongai,,-2.52188,150.198,tung1290,,281,281,155,18,18,18,6,6,6,4.480427046263345,1.8683274021352314,Austronesian
abvdoceanic-Sisingga,Sisingga,,-7.22281,157.149,baba1268,,197,197,182,24,24,24,8,8,8,5.527918781725888,2.517766497461929,Austronesian
abvdoceanic-Siar,Siar,,-4.62059,152.892,siar1238,,197,197,175,19,18,19,7,6,7,5.121827411167513,1.9238578680203047,Austronesian
abvdoceanic-Kokota,Kokota,,-8.16481,159.191,koko1269,,187,187,181,18,18,18,6,6,6,5.262032085561497,2.3636363636363638,Austronesian
abvdoceanic-Takia,Takia,,-4.69057,145.975,taki1248,,236,236,207,28,20,28,5,5,5,4.313559322033898,1.728813559322034,Austronesian
abvdoceanic-Sudest,Sudest,,-11.5229,153.488,sude1239,,219,219,172,23,22,23,7,7,7,5.2465753424657535,2.3972602739726026,Austronesian
abvdoceanic-Nalik,Nalik,,-2.94411,151.332,nali1244,,194,194,174,19,19,19,5,5,5,5.195876288659794,2.0103092783505154,Austronesian
abvdoceanic-Diodio,Diodio,,-9.38654,150.168,diod1237,,184,184,168,16,16,16,5,5,6,6.923913043478261,3.375,Austronesian
abvdoceanic-VaeakauTaumako,Vaeakau-Taumako,,-10.173335,166.247188,pile1238,,258,258,204,20,20,20,10,5,10,4.534883720930233,2,Austronesian
abvdoceanic-Mwotlap,Mwotlap,,-13.655015,167.706277,motl1237,,227,227,206,25,25,25,8,8,8,5.929515418502203,2.185022026431718,Austronesian
abvdoceanic-Haku,Haku,,-5.06832,154.594,hako1237,,201,201,179,15,15,15,6,5,6,6.696517412935323,3.0597014925373136,Austronesian
abvdoceanic-Tolai,Tolai,,-4.30986,152.114,kuan1248,,234,234,187,13,13,13,6,5,6,7.367521367521367,3.08974358974359,Austronesian
abvdoceanic-Madak,Madak,,-3.34342,151.967,mada1285,,196,196,175,17,16,17,7,5,7,8.48469387755102,3.2551020408163267,Austronesian
abvdoceanic-KaraWest,Kara (West),,-2.81957,151.111,kara1486,,188,188,172,18,18,18,5,5,5,6.898936170212766,2.8404255319148937,Austronesian
abvdoceanic-LihirSunglik,Lihir (Sunglik),,-3.18895,152.606,lihi1237,,231,231,205,17,17,17,6,5,7,4.961038961038961,1.852813852813853,Austronesian
abvdoceanic-LungaLungaMinigir,Lunga Lunga  (Minigir),,-4.31803,152.005,mini1251,,236,236,209,13,13,13,5,5,5,6.817796610169491,3.114406779661017,Austronesian
abvdoceanic-Barok,Barok,,-3.47672,152.193,baro1253,,153,153,152,18,18,18,6,5,6,5.5359477124183005,2.6470588235294117,Austronesian
abvdoceanic-Kandas,Kandas,,-4.3652,152.781,kand1301,,183,183,167,15,14,15,6,5,6,6.497267759562842,2.7868852459016393,Austronesian
abvdoceanic-Torau,Torau,,-6.19922,155.496,tora1259,,202,202,185,14,14,14,6,6,6,5.787128712871287,2.6831683168316833,Austronesian
abvdoceanic-Tiang,Tiang,,-2.95505,150.935,tian1237,,195,195,169,14,14,14,6,6,6,5.394871794871795,2.174358974358974,Austronesian
abvdoceanic-Bilur,Bilur,,-4.39732,152.334,bilu1244,,188,188,170,15,15,15,8,5,8,8.335106382978724,3.484042553191489,Austronesian
abvdoceanic-Kuni,Kuni,,-8.66368,146.874,kuni1263,,245,245,194,16,16,16,5,5,5,5.66530612244898,2.6122448979591835,Austronesian
abvdoceanic-Doura,Doura,,-9.10008,146.988,tour1243,,143,143,138,15,15,15,7,6,7,5.363636363636363,2.6363636363636362,Austronesian
abvdoceanic-Gabadi,Gabadi,,-9.03389,146.992,abad1241,,203,203,187,12,12,12,5,5,5,6.261083743842365,2.9950738916256157,Austronesian
abvdoceanic-Solos,Solos,,-5.41042,154.624,solo1257,,199,199,177,16,16,16,5,5,5,7.301507537688442,2.7236180904522613,Austronesian
abvdoceanic-Matukar,Matukar,,-4.9078,145.779,matu1261,,226,226,156,18,18,18,6,6,6,3.995575221238938,1.7787610619469028,Austronesian
abvdoceanic-Riwo,Riwo,,,,,,125,125,107,17,17,17,5,5,5,3.544,1.496,
abvdoceanic-Bilibil,Bilibil,,-5.26505,145.764,bilb1241,,170,170,138,18,18,18,5,5,5,3.9411764705882355,1.6941176470588235,Austronesian
abvdoceanic-Saliba,Saliba,,-10.6148,150.727,sali1295,,253,253,206,19,19,19,5,5,6,5.462450592885376,2.5296442687747036,Austronesian
abvdoceanic-Nahavaq,Nahavaq,,-16.5116,167.477,sout2857,,206,206,198,30,30,30,5,5,6,5.475728155339806,2.004854368932039,Austronesian
abvdoceanic-Avava,Avava,,-16.2701,167.484,katb1237,,263,263,194,21,20,21,8,5,8,4.64638783269962,1.817490494296578,Austronesian
abvdoceanic-Naman,Naman,,-16.1331,167.415,litz1237,,237,237,191,18,18,18,8,6,9,5.210970464135021,2.059071729957806,Austronesian
abvdoceanic-Nese,Nese,,-15.952608,167.222769,nese1235,,188,188,159,18,17,18,5,5,5,5.031914893617022,1.9840425531914894,Austronesian
abvdoceanic-Tape,Tape,,-16.0695,167.33,mara1399,,237,237,195,21,21,21,8,6,9,4.7974683544303796,1.8860759493670887,Austronesian
abvdoceanic-SyeErromangan,Sye (Erromangan),,-18.8181,169.166,siee1239,,219,219,202,22,22,22,5,5,5,5.159817351598173,2.2009132420091326,Austronesian
abvdoceanic-Ura,Ura,,-18.6747,169.084,urav1235,,205,205,199,22,22,22,5,5,6,5.180487804878049,2.317073170731707,Austronesian
abvdoceanic-ArakiSouthwestSanto,Araki (Southwest Santo),,-15.632997,166.952542,arak1252,,184,184,177,15,14,15,6,5,6,4.646739130434782,2.108695652173913,Austronesian
abvdoceanic-Tolo,Tolo,,-9.76764,160.231,tali1259,,353,353,204,19,19,19,6,6,6,4.98300283286119,2.320113314447592,Austronesian
abvdoceanic-Merei,Merei,,-15.2839,166.905,mere1242,,201,201,184,21,19,21,5,5,5,4.786069651741293,2.054726368159204,Austronesian
